scenario,setting,metric,mean,sample_std
split,pc-t10,mean_adaptation_gain,0.9116003016413208,0.041620025154780145
split,pc-t10,average_forgetting,0.9448705507145467,0.016435080180188712
split,pc-t10,backward_transfer,-0.9448705507145467,0.016435080180188712
split,pc-t10,update_seconds_per_1000_samples,0.05858104417583134,0.0005657939173024099
split,pc-t10,peak_accelerator_memory_bytes,125299200.0,0.0
split,pc-t20,final_average_accuracy,0.1685997646663305,0.006189658071382484
split,pc-t20,prequential_accuracy,0.5454652777777778,0.02756294353804544
split,pc-t20,mean_adaptation_gain,0.8982856188145916,0.03558701274440509
split,pc-t20,average_forgetting,0.923730643138439,0.0359485420478651
split,pc-t20,backward_transfer,-0.923730643138439,0.0359485420478651
split,pc-t20,update_seconds_per_1000_samples,0.09161073558973776,0.008784952883111034
split,pc-t20,peak_accelerator_memory_bytes,125299200.0,0.0
permuted,bp,final_average_accuracy,0.9154399999999999,0.0042700351286611175
permuted,bp,prequential_accuracy,0.8695472222222222,0.002699685981396399
permuted,bp,mean_adaptation_gain,0.8429399999999999,0.003088300503513258
permuted,bp,average_forgetting,0.04699166666666663,0.007112152159039721
permuted,bp,backward_transfer,-0.04699166666666663,0.007112152159039721
permuted,bp,update_seconds_per_1000_samples,0.02477739389754501,0.00022842582777941035
permuted,bp,peak_accelerator_memory_bytes,121751040.0,0.0
permuted,pc-t1,final_average_accuracy,0.51008,0.010986846681373176
permuted,pc-t1,prequential_accuracy,0.47503611111111105,0.016188778013328086
permuted,pc-t1,mean_adaptation_gain,0.5672200000000001,0.011461797415763423
permuted,pc-t1,average_forgetting,0.22433333333333336,0.02385906972900104
permuted,pc-t1,backward_transfer,-0.22433333333333336,0.02385906972900104
permuted,pc-t1,update_seconds_per_1000_samples,0.02558382636912268,0.00017918758846474195
permuted,pc-t1,peak_accelerator_memory_bytes,125299200.0,0.0
permuted,pc-t5,final_average_accuracy,0.9132600000000001,0.004985940232293185
permuted,pc-t5,prequential_accuracy,0.8701041666666667,0.0038514269541733994
permuted,pc-t5,mean_adaptation_gain,0.8410333333333333,0.005163035282983516
permuted,pc-t5,average_forgetting,0.049641666666666646,0.006527936759293367
permuted,pc-t5,backward_transfer,-0.049641666666666646,0.006527936759293367
permuted,pc-t5,update_seconds_per_1000_samples,0.04177506298666565,0.00011143747027182511
permuted,pc-t5,peak_accelerator_memory_bytes,125299200.0,0.0
permuted,pc-t10,final_average_accuracy,0.91806,0.005655864213363072
permuted,pc-t10,prequential_accuracy,0.8712888888888889,0.002635897793148621
permuted,pc-t10,mean_adaptation_gain,0.8356866666666667,0.009786221606592238
permuted,pc-t10,average_forgetting,0.043825,0.008806921993523042
permuted,pc-t10,backward_transfer,-0.043825,0.008806921993523042
permuted,pc-t10,update_seconds_per_1000_samples,0.0597858556673715,0.0019246357163648056
permuted,pc-t10,peak_accelerator_memory_bytes,125299200.0,0.0
permuted,pc-t20,final_average_accuracy,0.9103666666666665,0.011474795568258832
permuted,pc-t20,prequential_accuracy,0.8704555555555555,0.004355843643037768
permuted,pc-t20,mean_adaptation_gain,0.8481533333333333,0.0020402287453452693
permuted,pc-t20,average_forgetting,0.05317499999999999,0.014912515716672346
permuted,pc-t20,backward_transfer,-0.05317499999999999,0.014912515716672346
permuted,pc-t20,update_seconds_per_1000_samples,0.09243026190596426,0.002287139091478786
permuted,pc-t20,peak_accelerator_memory_bytes,125299200.0,0.0
