architecture,scenario,method,metric,mean,sample_std
wide-512x2,permuted,bp_minus_baseline,backward_transfer,-9.166666666670283e-05,0.015715922127999136
wide-512x2,permuted,bp_minus_baseline,update_seconds_per_1000_samples,0.000453940131933848,0.00016049083666121275
wide-512x2,permuted,bp_minus_baseline,peak_accelerator_memory_bytes,7430144.0,0.0
wide-512x2,permuted,pc,final_average_accuracy,0.9125733333333333,0.01864756641852596
wide-512x2,permuted,pc,prequential_accuracy,0.8934555555555556,0.003469073016324798
wide-512x2,permuted,pc,mean_adaptation_gain,0.8571066666666667,0.009131250370750577
wide-512x2,permuted,pc,average_forgetting,0.06230000000000002,0.02303873097633634
wide-512x2,permuted,pc,backward_transfer,-0.06230000000000002,0.02303873097633634
wide-512x2,permuted,pc,update_seconds_per_1000_samples,0.04142075919016957,0.0011130755462009795
wide-512x2,permuted,pc,peak_accelerator_memory_bytes,143207936.0,0.0
wide-512x2,permuted,pc_minus_baseline,final_average_accuracy,-0.0006866666666666502,0.013769245924644395
wide-512x2,permuted,pc_minus_baseline,prequential_accuracy,0.023351388888888918,0.004800109108520774
wide-512x2,permuted,pc_minus_baseline,mean_adaptation_gain,0.01607333333333331,0.010192827543588322
wide-512x2,permuted,pc_minus_baseline,average_forgetting,0.012658333333333374,0.017588372105835505
wide-512x2,permuted,pc_minus_baseline,backward_transfer,-0.012658333333333374,0.017588372105835505
wide-512x2,permuted,pc_minus_baseline,update_seconds_per_1000_samples,0.0009423131438502189,0.0007694324476147229
wide-512x2,permuted,pc_minus_baseline,peak_accelerator_memory_bytes,15753216.0,0.0
deep-256x4,static,bp,final_test_accuracy,0.9810666666666666,0.001747378989610798
deep-256x4,static,bp,final_train_accuracy,0.9978055555555555,0.0005691479580461931
deep-256x4,static,bp,epoch1_validation_accuracy,0.94925,0.0019490025939210942
deep-256x4,static,bp,epoch1_validation_gain,0.8531666666666666,0.017104052476273317
deep-256x4,static,bp,post_update_curve_mean,0.972875,0.000102401714395328
deep-256x4,static,bp,update_seconds_per_1000_samples,0.022377759720539,0.00010157691726244882
deep-256x4,static,bp,peak_accelerator_memory_bytes,123893248.0,0.0
deep-256x4,static,bp_minus_baseline,final_test_accuracy,-0.0016000000000000088,0.0021656407827707587
deep-256x4,static,bp_minus_baseline,final_train_accuracy,0.0007291666666666327,0.0007758843520640077
deep-256x4,static,bp_minus_baseline,epoch1_validation_accuracy,0.0018333333333333164,0.001607275126832149
deep-256x4,static,bp_minus_baseline,epoch1_validation_gain,0.007250000000000016,0.015733677609227628
deep-256x4,static,bp_minus_baseline,post_update_curve_mean,-6.11111111111784e-05,0.0006354314661300358
deep-256x4,static,bp_minus_baseline,update_seconds_per_1000_samples,0.0016994205151183127,0.00010294385883141658
deep-256x4,static,bp_minus_baseline,peak_accelerator_memory_bytes,2105344.0,0.0
deep-256x4,static,pc,final_test_accuracy,0.9753333333333334,0.0010016652800877966
deep-256x4,static,pc,final_train_accuracy,0.9910625,0.0003749999999999587
deep-256x4,static,pc,epoch1_validation_accuracy,0.9140833333333332,0.0021032382440206573
deep-256x4,static,pc,epoch1_validation_gain,0.8180000000000001,0.020010587475411873
deep-256x4,static,pc,post_update_curve_mean,0.9595944444444443,0.0009435575901480558
deep-256x4,static,pc,update_seconds_per_1000_samples,0.04643159875843183,0.0005948012450138569
deep-256x4,static,pc,peak_accelerator_memory_bytes,135729664.0,0.0
deep-256x4,static,pc_minus_baseline,final_test_accuracy,-0.006600000000000013,0.0014422205101856061
deep-256x4,static,pc_minus_baseline,final_train_accuracy,-0.005965277777777778,0.00034380260540243677
deep-256x4,static,pc_minus_baseline,epoch1_validation_accuracy,-0.033555555555555595,0.003384332091226213
deep-256x4,static,pc_minus_baseline,epoch1_validation_gain,-0.028138888888888897,0.017760820906119697
deep-256x4,static,pc_minus_baseline,post_update_curve_mean,-0.013358333333333436,0.0012719189352226172
deep-256x4,static,pc_minus_baseline,update_seconds_per_1000_samples,0.010467601970805,0.0012299961767323374
deep-256x4,static,pc_minus_baseline,peak_accelerator_memory_bytes,8279040.0,0.0
deep-256x4,split,bp,final_average_accuracy,0.12173474533535049,0.03441406701401266
deep-256x4,split,bp,prequential_accuracy,0.36088194444444444,0.01612324136261183
deep-256x4,split,bp,mean_adaptation_gain,0.6718786673527223,0.06068739811772862
deep-256x4,split,bp,average_forgetting,0.7324001546887754,0.04123256442367454
deep-256x4,split,bp,backward_transfer,-0.7324001546887754,0.04123256442367454
deep-256x4,split,bp,update_seconds_per_1000_samples,0.02555091879852685,0.0017264028936933675
deep-256x4,split,bp,peak_accelerator_memory_bytes,123648512.0,0.0
deep-256x4,split,bp_minus_baseline,final_average_accuracy,-0.06367456715414356,0.03294227091049277
deep-256x4,split,bp_minus_baseline,prequential_accuracy,-0.2405625,0.010789735992033218
deep-256x4,split,bp_minus_baseline,mean_adaptation_gain,-0.27373221712687973,0.0679351832102476
