architecture,scenario,method,metric,mean,sample_std
wide-512x2,static,pc,post_update_curve_mean,0.9780694444444444,0.00046773191910337835
wide-512x2,static,pc,update_seconds_per_1000_samples,0.03633416224609101,0.00045794443225274895
wide-512x2,static,pc,peak_accelerator_memory_bytes,143203840.0,0.0
wide-512x2,static,pc_minus_baseline,final_test_accuracy,0.0017333333333333645,0.0004932882862316716
wide-512x2,static,pc_minus_baseline,final_train_accuracy,0.0022291666666666523,0.0004925662673973619
wide-512x2,static,pc_minus_baseline,epoch1_validation_accuracy,0.013388888888888931,0.001448977928416117
wide-512x2,static,pc_minus_baseline,epoch1_validation_gain,0.003638888888888858,0.04274523473549529
wide-512x2,static,pc_minus_baseline,post_update_curve_mean,0.0056916666666666504,0.00038269875010683944
wide-512x2,static,pc_minus_baseline,update_seconds_per_1000_samples,0.0003094616857884462,0.0009425043138693305
wide-512x2,static,pc_minus_baseline,peak_accelerator_memory_bytes,15753216.0,0.0
wide-512x2,split,bp,final_average_accuracy,0.18920827029752899,0.0008734497264593517
wide-512x2,split,bp,prequential_accuracy,0.6747222222222223,0.020423726812169935
wide-512x2,split,bp,mean_adaptation_gain,0.9671429661347383,0.0021786454638391
wide-512x2,split,bp,average_forgetting,0.974782435990365,0.0036924367572433578
wide-512x2,split,bp,backward_transfer,-0.974782435990365,0.0036924367572433578
wide-512x2,split,bp,update_seconds_per_1000_samples,0.023265885289373272,0.0017581880967127326
wide-512x2,split,bp,peak_accelerator_memory_bytes,129177088.0,0.0
wide-512x2,split,bp_minus_baseline,final_average_accuracy,0.008034963859472194,0.007521366383220046
wide-512x2,split,bp_minus_baseline,prequential_accuracy,0.06054861111111113,0.05049909899040371
wide-512x2,split,bp_minus_baseline,mean_adaptation_gain,0.021801301241354192,0.006297784343157077
wide-512x2,split,bp_minus_baseline,average_forgetting,0.008736684532711111,0.008289831330884082
wide-512x2,split,bp_minus_baseline,backward_transfer,-0.008736684532711111,0.008289831330884082
wide-512x2,split,bp_minus_baseline,update_seconds_per_1000_samples,0.002174603992698592,0.0018056893087810633
wide-512x2,split,bp_minus_baseline,peak_accelerator_memory_bytes,7633920.0,0.0
wide-512x2,split,pc,final_average_accuracy,0.18789712556732222,0.0007060010085728763
wide-512x2,split,pc,prequential_accuracy,0.6502847222222222,0.011633981994013793
wide-512x2,split,pc,mean_adaptation_gain,0.9647913688036608,0.0015994070305818961
wide-512x2,split,pc,average_forgetting,0.9734818702392767,0.004657921980575539
wide-512x2,split,pc,backward_transfer,-0.9734818702392767,0.004657921980575539
wide-512x2,split,pc,update_seconds_per_1000_samples,0.03996127153115241,0.001819418855113843
wide-512x2,split,pc,peak_accelerator_memory_bytes,143207936.0,0.0
wide-512x2,split,pc_minus_baseline,final_average_accuracy,0.01872583627500421,0.012783172074993143
wide-512x2,split,pc_minus_baseline,prequential_accuracy,0.0784444444444445,0.01399932310698291
wide-512x2,split,pc_minus_baseline,mean_adaptation_gain,0.03388567955837363,0.0053737383507076394
wide-512x2,split,pc_minus_baseline,average_forgetting,0.010478566909570311,0.011143334853974252
wide-512x2,split,pc_minus_baseline,backward_transfer,-0.010478566909570311,0.011143334853974252
wide-512x2,split,pc_minus_baseline,update_seconds_per_1000_samples,0.0018802232234487182,0.0021722616794354398
wide-512x2,split,pc_minus_baseline,peak_accelerator_memory_bytes,15753216.0,0.0
wide-512x2,permuted,bp,final_average_accuracy,0.9265866666666668,0.011191163180533667
wide-512x2,permuted,bp,prequential_accuracy,0.8932013888888889,0.0010399764064275253
wide-512x2,permuted,bp,mean_adaptation_gain,0.8637400000000001,0.004687045978012215
wide-512x2,permuted,bp,average_forgetting,0.04470833333333335,0.01455455970936026
wide-512x2,permuted,bp,backward_transfer,-0.04470833333333335,0.01455455970936026
wide-512x2,permuted,bp,update_seconds_per_1000_samples,0.024885066335445388,9.253184776473265e-05
wide-512x2,permuted,bp,peak_accelerator_memory_bytes,129181184.0,0.0
wide-512x2,permuted,bp_minus_baseline,final_average_accuracy,0.016666666666666757,0.014842605341830475
wide-512x2,permuted,bp_minus_baseline,prequential_accuracy,0.025270833333333315,0.0022465521422343213
wide-512x2,permuted,bp_minus_baseline,mean_adaptation_gain,0.006606666666666687,0.0023698382504579564
wide-512x2,permuted,bp_minus_baseline,average_forgetting,-0.008833333333333295,0.01855399777226819
wide-512x2,permuted,bp_minus_baseline,backward_transfer,0.008833333333333295,0.01855399777226819
wide-512x2,permuted,bp_minus_baseline,update_seconds_per_1000_samples,0.0007050643256214945,0.00018885746265434678
wide-512x2,permuted,bp_minus_baseline,peak_accelerator_memory_bytes,7430144.0,0.0
wide-512x2,permuted,pc,final_average_accuracy,0.9304,0.005329127508326283
wide-512x2,permuted,pc,prequential_accuracy,0.8940541666666667,0.0008049758450482552
wide-512x2,permuted,pc,mean_adaptation_gain,0.8636066666666666,0.001639796735370955
wide-512x2,permuted,pc,average_forgetting,0.041008333333333334,0.007032173087555022
wide-512x2,permuted,pc,backward_transfer,-0.041008333333333334,0.007032173087555022
wide-512x2,permuted,pc,update_seconds_per_1000_samples,0.04094874937683671,0.0006918659676373391
wide-512x2,permuted,pc,peak_accelerator_memory_bytes,143207936.0,0.0
wide-512x2,permuted,pc_minus_baseline,final_average_accuracy,0.014453333333333318,0.0043765892351616655
wide-512x2,permuted,pc_minus_baseline,prequential_accuracy,0.025693055555555528,0.0008960400278343897
wide-512x2,permuted,pc_minus_baseline,mean_adaptation_gain,0.006306666666666645,0.004328525538025043
wide-512x2,permuted,pc_minus_baseline,average_forgetting,-0.004816666666666682,0.005717097894328311
